iter	RMSE
466	0.7545804661
467	0.7545099705
468	0.7544135986
469	0.7543695095
470	0.7543084273
471	0.7542868129
472	0.7542271454
473	0.7541334179
474	0.7540560167
475	0.7539629679
476	0.7538980983
477	0.7538498579
478	0.7537999923
479	0.7537373449
480	0.7536593288
481	0.7535974614
482	0.7535040778
483	0.7534564369
484	0.7533364291
485	0.7532903055
486	0.7532322738
487	0.7531731325
488	0.7531245179
489	0.7530899419
490	0.7530540678
491	0.7528501971
492	0.7527959836
493	0.7527576138
494	0.7527288409
495	0.7526734117
496	0.75263597
497	0.7525449386
498	0.7524767463
499	0.7523791849
500	0.75234061
501	0.7522961094
502	0.752268505
503	0.7522375785
504	0.7521892493
505	0.7521050466
506	0.7520712495
507	0.7519753009
508	0.7519243119
509	0.7518464432
510	0.7517920084
511	0.751720415
512	0.7516201759
513	0.7515890197
514	0.75154353
515	0.7515171976
516	0.7514907199
517	0.7514075524
518	0.7513629435
519	0.7512730675
520	0.7512345218
521	0.7512012806
522	0.7511242012
523	0.7510883964
524	0.7510493366
525	0.7509531971
526	0.7508927315
527	0.7508305995
528	0.7507743948
529	0.7506921125
530	0.7506464908
531	0.7505740267
532	0.7505096272
533	0.7504893762
534	0.7504039487
535	0.7503668036
536	0.7503049419
537	0.7502465823
538	0.7501191083
539	0.7500641879
540	0.7499889621
541	0.7499592253
542	0.7499158261
543	0.7498663973
544	0.7498384353
545	0.7498057283
546	0.7497535391
547	0.7496894751
548	0.7496210129
549	0.7495683633
550	0.7495379813
551	0.749462529
552	0.7494162973
553	0.7493398079
554	0.749308856
555	0.7492306554
556	0.7491399127
557	0.7490945559
558	0.7490434454
559	0.7489884549
560	0.7489114016
561	0.748867624
562	0.7488113426
563	0.7487690002
564	0.7487156357
565	0.7486513898
566	0.7485928982
567	0.7485274897
568	0.7484877535
569	0.7484422822
570	0.7483770496
571	0.7483210138
572	0.7482809195
573	0.7482080443
574	0.7481088122
575	0.7480599894
576	0.7479940833
577	0.7479430162
578	0.7478514863
579	0.7477869556
580	0.7477450228
581	0.7476992997
582	0.747669255
583	0.747621387
584	0.7475734106
585	0.7474894489
586	0.7474475353
587	0.7474080435
588	0.7473675409
589	0.7473353944
590	0.7473029448
591	0.7472473152
592	0.7472224279
593	0.7471214227
594	0.7470788968
595	0.7470532058
596	0.747023967
597	0.7469417212
598	0.7468909883
599	0.7468343946
600	0.7467950149
601	0.7467535448
602	0.7466074745
603	0.7465689873
604	0.7464757685
605	0.7464343367
606	0.746406018
607	0.746352719
608	0.7463109065
609	0.7462712262
610	0.7461774607
611	0.7461311741
612	0.7460788836
613	0.7460221779
614	0.7459370695
615	0.7458750669
616	0.7458026114
617	0.7457634934
618	0.745729207
619	0.7457029834
620	0.7456409585
621	0.7456029122
622	0.7455707896
623	0.7455353295
624	0.7454570624
625	0.7454483598
626	0.7454084947
627	0.7453412608
628	0.7452047283
629	0.7451107012
630	0.7450640673
631	0.7450085151
632	0.7449053142
633	0.7448435036
634	0.7447815198
635	0.7447391796
636	0.7447088515
637	0.7446279725
638	0.7445940033
639	0.744537292
640	0.7444940916
641	0.7444402842
642	0.7443973814
643	0.7443737769
644	0.7442893967
645	0.7442551027
646	0.744226892
647	0.7441644419
648	0.7440694288
649	0.7440135193
650	0.7439691993
651	0.743933506
652	0.7438686358
653	0.7438367448
654	0.7438125223
655	0.7437707285
656	0.7437202199
657	0.7436856936
658	0.7436413541
659	0.7436024641
660	0.7435156513
661	0.7434707838
662	0.743424339
663	0.7433616446
664	0.7432936495
665	0.7432623703
666	0.7431723999
667	0.7431361966
668	0.7430831287
669	0.7430571735
670	0.7430237924
671	0.742951936
672	0.7428672384
673	0.7428213748
674	0.7427793272
675	0.7427515265
676	0.7427164136
677	0.7426835291
678	0.7426580308
679	0.7426182286
680	0.7425804102
681	0.7425311099
682	0.7424963997
683	0.7424886979
684	0.7424506817
685	0.7424025905
686	0.7423298154
687	0.74230536
688	0.7422768814
689	0.7421930212
690	0.7421686483
691	0.7420608058
692	0.742016336
693	0.74198183
694	0.741954887
695	0.7418651424
696	0.7417869847
697	0.741762168
698	0.7417211942
699	0.7417052751
700	0.7416603312
701	0.7415891839
702	0.741561256
703	0.7415105635
704	0.7414735178
705	0.7414019862
706	0.7413509065
707	0.741291431
708	0.7412654896
709	0.7412241689
710	0.741188663
711	0.7411510222
712	0.741118533
713	0.7410698948
714	0.7409311068
715	0.7408794439
716	0.7408338512
717	0.7407659671
718	0.7407326726
719	0.7406996101
720	0.7406552743
721	0.7405824548
722	0.7405698974
723	0.7405304269
724	0.7405026651
725	0.7404633559
726	0.7404217249
727	0.7403892755
728	0.7403452258
729	0.7402776006
730	0.7402307743
731	0.7402056554
732	0.740169733
733	0.7401344032
734	0.740104586
735	0.7400373407
736	0.7399988617
737	0.7399751432
738	0.739916759
739	0.7398854933
740	0.7398504007
741	0.7398102526
742	0.7397847435
743	0.7397551811
744	0.7397200929
745	0.7396987971
746	0.7396422238
747	0.7396033373
748	0.7395692899
749	0.73950655
750	0.7394686201
751	0.7394428501
752	0.7393820572
753	0.7393352798
754	0.7393141015
755	0.7392789587
756	0.7391988074
757	0.7391417365
758	0.7391184796
759	0.7390764289
760	0.7390533774
761	0.7390063802
762	0.7389195772
763	0.7388735479
764	0.7388531041
765	0.7388000281
766	0.7387637974
767	0.7387228875
768	0.7386899777
769	0.7385766341
770	0.7385008571
771	0.7384690028
772	0.7384415023
773	0.7384172389
774	0.7383913819
775	0.7383532427
776	0.738307518
777	0.7382644974
778	0.7382248003
779	0.7381873838
780	0.7381371187
781	0.7381232331
782	0.7380956332
783	0.738079619
784	0.7380092845
785	0.7379589525
786	0.7378964858
787	0.7378518884
788	0.7377726412
789	0.7377487141
790	0.7376934854
791	0.7376725826
792	0.7376315285
793	0.7375985618
794	0.7375635136
795	0.7375304224
796	0.7374389485
797	0.7374016176
798	0.7373674424
799	0.7373273148
800	0.7372800546
801	0.7372578107
802	0.7372175358
803	0.7371640514
804	0.7370873362
805	0.7370563554
806	0.7370086253
807	0.7369806246
808	0.7369440578
809	0.7369170613
810	0.736857973
811	0.7368099326
812	0.7367758539
813	0.7367369206
814	0.7367005107
815	0.736668187
816	0.7366395204
817	0.7366140571
818	0.7365710619
819	0.7365413025
820	0.7365074158
821	0.7364561336
822	0.7364224531
823	0.7363827921
824	0.7363522007
825	0.7363058884
826	0.7362896082
827	0.7362687445
828	0.7362461297
829	0.7362229766
830	0.7362154134
831	0.7361863786
832	0.7361324715
833	0.7360618701
834	0.7360199993
835	0.7359947515
836	0.7359742572
837	0.7358972553
838	0.7358530006
839	0.7358335252
840	0.7357995954
841	0.7357760851
842	0.7357250339
843	0.7356888173
844	0.7356648047
845	0.7356492987
846	0.7356096868
847	0.7355750412
848	0.7355327441
849	0.7354845252
850	0.7354531597
851	0.7354263822
852	0.7353858913
853	0.7353283321
854	0.7353213761
855	0.7352540246
856	0.7352149724
857	0.7351927546
858	0.7351581071
859	0.7351257849
860	0.7350980266
861	0.7350692256
862	0.7350209474
863	0.7349882187
864	0.734957685
865	0.7349341411
866	0.734906158
867	0.7348451154
868	0.7348179426
869	0.7347876301
870	0.7347672992
871	0.7347552711
872	0.7347223868
873	0.7346932228
874	0.7346601183
875	0.7346104174
876	0.7345565562
877	0.7345109414
878	0.734467781
879	0.7344311032
880	0.7344068646
881	0.7343815025
882	0.7343674769
883	0.73432163
884	0.7342292354
885	0.7342030744
886	0.73417526
887	0.7341461853
888	0.7341321913
889	0.7340981715
890	0.7340619766
891	0.7340405414
892	0.7340230795
893	0.7339819648
894	0.7339646812
895	0.7339274896
896	0.7338939663
897	0.7338645194
898	0.7338117562
899	0.7337837414
900	0.733759017
901	0.7337311598
902	0.7337040923
903	0.733667298
904	0.733586173
905	0.7335464471
906	0.7335158459
907	0.7334943606
908	0.7334461805
909	0.733419088
910	0.7333840618
911	0.7333271367
912	0.7333024322
913	0.7332602232
914	0.7332083734
915	0.7331695965
916	0.7331481133
917	0.7331112458
